player_name,player_role,cost_cr,cost_usd_000,base_price_inr,is_retained,current_team,prev_team_2022,is_sold,price_bucket,is_overseas_inferred,player_origin,base_price_cr,price_multiplier,team_changed
Shivam Mavi,Bowler,6.0,720.0,4000000,False,Gujarat Titans,Kolkata Knight Riders,True,5 – 10 Cr,False,Indian,0.4,15.0,True
Joshua Little,Bowler,4.4,528.0,5000000,False,Gujarat Titans,,True,2 – 5 Cr,True,Overseas,0.5,8.8,False
Kane Williamson,Batsman,2.0,240.0,20000000,False,Gujarat Titans,Sunrisers Hyderabad,True,2 – 5 Cr,True,Overseas,2.0,1.0,True
K.S. Bharat,Wicket-Keeper,1.2,144.0,2000000,False,Gujarat Titans,Delhi Capitals,True,1 – 2 Cr,False,Indian,0.2,6.0,True
Mohit Sharma,Bowler,0.5,60.0,5000000,False,Gujarat Titans,,True,0.5 – 1 Cr,False,Indian,0.5,1.0,False
Odean Smith,All-Rounder,0.5,60.0,5000000,False,Gujarat Titans,Punjab Kings,True,0.5 – 1 Cr,True,Overseas,0.5,1.0,True
Urvil Patel,Wicket-Keeper,0.2,24.0,2000000,False,Gujarat Titans,,True,< 0.5 Cr,False,Indian,0.2,1.0,False
Rahul Tewatia,All-Rounder,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Pradeep Sangwan,All-Rounder,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Rashid Khan,Bowler,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
R. Sai Kishore,Bowler,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Yash Dayal,Bowler,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Noor Ahmad,Bowler,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Wriddhiman Saha,Wicket-Keeper,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Vijay Shankar,All-Rounder,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Shubman Gill,Batsman,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Hardik Pandya,All-Rounder,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
B. Sai Sudharsan,All-Rounder,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Alzarri Joseph,Bowler,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,True,Overseas,0.0,,False
Abhinav Sadarangani,Batsman,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Darshan Nalkande,All-Rounder,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
David Miller,Batsman,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,True,Overseas,0.0,,False
Matthew Wade,Wicket-Keeper,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Jayant Yadav,All-Rounder,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,False,Indian,0.0,,False
Mohammad Shami,Bowler,0.0,0.0,0,True,Gujarat Titans,Gujarat Titans,True,Unsold / Retained,True,Overseas,0.0,,False
Ben Stokes,All-Rounder,16.25,1950.0,20000000,False,Chennai Super Kings,,True,10+ Cr,True,Overseas,2.0,8.12,False
Kyle Jamieson,Bowler,1.0,120.0,10000000,False,Chennai Super Kings,,True,1 – 2 Cr,False,Indian,1.0,1.0,False
Nishant Sindhu,All-Rounder,0.6,72.0,2000000,False,Chennai Super Kings,,True,0.5 – 1 Cr,False,Indian,0.2,3.0,False
Ajinkya Rahane,Batsman,0.5,60.0,5000000,False,Chennai Super Kings,Kolkata Knight Riders,True,0.5 – 1 Cr,False,Indian,0.5,1.0,True
Bhagath Varma,All-Rounder,0.2,24.0,2000000,False,Chennai Super Kings,Chennai Super Kings,True,< 0.5 Cr,False,Indian,0.2,1.0,False
Ajay Mandal,All-Rounder,0.2,24.0,2000000,False,Chennai Super Kings,,True,< 0.5 Cr,False,Indian,0.2,1.0,False
Shaik Rasheed,Batsman,0.2,24.0,2000000,False,Chennai Super Kings,,True,< 0.5 Cr,False,Indian,0.2,1.0,False
Ravindra Jadeja,All-Rounder,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Rajvardhan Hangargekar,All-Rounder,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Prashant Solanki,Bowler,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Ruturaj Gaikwad,Batsman,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Tushar Deshpande,Bowler,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Mukesh Choudhary,Bowler,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Subhranshu Senapati,Batsman,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Simarjeet Singh,Bowler,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Shivam Dube,All-Rounder,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Matheesha Pathirana,Bowler,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Devon Conway,Batsman,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Deepak Chahar,Bowler,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Ambati Rayudu,Batsman,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Dwaine Pretorius,All-Rounder,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Maheesh Theekshana,Bowler,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Moeen Ali,All-Rounder,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Mitchell Santner,All-Rounder,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
MS Dhoni,Wicket-Keeper,0.0,0.0,0,True,Chennai Super Kings,Chennai Super Kings,True,Unsold / Retained,False,Indian,0.0,,False
Mukesh Kumar,Bowler,5.5,660.0,2000000,False,Delhi Capitals,,True,5 – 10 Cr,False,Indian,0.2,27.5,False
Rilee Rossouw,Batsman,4.6,552.0,20000000,False,Delhi Capitals,,True,2 – 5 Cr,False,Indian,2.0,2.3,False
Manish Pandey,Batsman,2.4,288.0,10000000,False,Delhi Capitals,Lucknow Super Giants,True,2 – 5 Cr,False,Indian,1.0,2.4,True
Phil Salt,Wicket-Keeper,2.0,240.0,20000000,False,Delhi Capitals,,True,2 – 5 Cr,False,Indian,2.0,1.0,False
Ishant Sharma,Bowler,0.5,60.0,5000000,False,Delhi Capitals,,True,0.5 – 1 Cr,False,Indian,0.5,1.0,False
Ripal Patel,All-Rounder,0.0,0.0,0,True,Delhi Capitals,Delhi Capitals,True,Unsold / Retained,False,Indian,0.0,,False
Pravin Dubey,All-Rounder,0.0,0.0,0,True,Delhi Capitals,Delhi Capitals,True,Unsold / Retained,False,Indian,0.0,,False
Rishabh Pant,Wicket-Keeper,0.0,0.0,0,True,Delhi Capitals,Delhi Capitals,True,Unsold / Retained,False,Indian,0.0,,False
Prithvi Shaw,Batsman,0.0,0.0,0,True,Delhi Capitals,Delhi Capitals,True,Unsold / Retained,False,Indian,0.0,,False
Syed Khaleel Ahmed,Bowler,0.0,0.0,0,True,Delhi Capitals,Delhi Capitals,True,Unsold / Retained,False,Indian,0.0,,False
Yash Dhull,All-Rounder,0.0,0.0,0,True,Delhi Capitals,Delhi Capitals,True,Unsold / Retained,False,Indian,0.0,,False
Vicky Ostwal,All-Rounder,0.0,0.0,0,True,Delhi Capitals,Delhi Capitals,True,Unsold / Retained,False,Indian,0.0,,False
Mustafizur Rahman,Bowler,0.0,0.0,0,True,Delhi Capitals,Delhi Capitals,True,Unsold / Retained,False,Indian,0.0,,False
